section,Description
177, Using as genuine forged or counterfeit coin Government stamp currency-notes or bank notes
178, Possession of forged or counterfeit coin Government stamp currency-notes or bank-notes
179, Making or possessing instruments or materials for forging or counterfeiting coin Government stamp currency notes or bank-notes
180, Making or using documents resembling currency-notes or bank-notes
181, Effacing writing from substance bearing Government stamp or removing from document a stamp used for it with intent to cause loss to Government
182, Using Government stamp known to have been before used
183, Erasure of mark denoting that stamp has been used
184, Prohibition of fictitious stamps
185, Person employed in mint causing coin to be of different weight or composition from that fixed by law
186, Unlawfully taking coining instrument from mint
187, Unlawful assembly
188, Every member of unlawful assembly guilty of offence committed in prosecution of common object
189, Rioting
190, Wantonly giving provocation with intent to cause riot- if rioting be committed; if not committed
191, Liability of owner occupier etc of land on which an unlawful assembly or riot takes place
192, Affray
193, Assaulting or obstructing public servant when suppressing riot etc
194, Promoting enmity between different groups on ground of religion race place of birth residence language etc and doing acts prejudicial to maintenance of harmony
195, Imputations assertions prejudicial to national integration
196, Public servant disobeying law with intent to cause injury to any person
197, Public servant disobeying direction under law
198, Punishment for non-treatment of victim
199, Public servant framing an incorrect document with intent to cause injury
200, Public servant unlawfully engaging in trade
201, Public servant unlawfully buying or bidding for property
202, Personating a public servant
203, Wearing garb or carrying token used by public servant with fraudulent intent
204, Absconding to avoid service of summons or other proceeding
205, Preventing service of summons or other proceeding or preventing publication thereof
206, Non-attendance in obedience to an order from public servant
207, Non-appearance in response to a proclamation under section 82 of Act __ of 2023
208, Omission to produce document to public servant by person legally bound to produce it
209, Omission to give notice or information to public servant by person legally bound to give it
210, Furnishing false information
211, Refusing oath or affirmation when duly required by public servant to make it
212, Refusing to answer public servant authorised to question
213, Refusing to sign statement
214, False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation
215, False information with intent to cause public servant to use his lawful power to the injury of another person
216, Resistance to the taking of property by the lawful authority of a public servant
217, Obstructing sale of property offered for sale by authority of public servant
218, Illegal purchase or bid for property offered for sale by authority of public servant
219, Obstructing public servant in discharge of public functions
220, Omission to assist public servant when bound by law to give assistance
221, Disobedience to order duly promulgated by public servant
222, Threat of injury to public servant
223, Threat of injury to induce person to refrain from applying for protection to public servant
224, Attempt to commit suicide to compel or restraint exercise of lawful power
225, Giving false evidence
226, Fabricating false evidence
227, Punishment for false evidence
228, Giving or fabricating false evidence with intent to procure conviction of capital offence
229, Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment
230, Threatening any person to give false evidence
231, Using evidence known to be false
232, Issuing or signing false certificate
233, Using as true a certificate known to be false
234, False statement made in declaration which is by law receivable as evidence
235, Using as true such declaration knowing it to be false
236, Causing disappearance of evidence of offence or giving false information to screen offender
237, Intentional omission to give information of offence by person bound to inform
238, Giving false information respecting an offence committed
239, Destruction of document to prevent its production as evidence
240, False personation for purpose of act or proceeding in suit or prosecution
241, Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution
242, Fraudulent claim to property to prevent its seizure as forfeited or in execution
243, Fraudulently suffering decree for sum not due
244, Dishonestly making false claim in Court
245, Fraudulently obtaining decree for sum not due
246, False charge of offence made with intent to injure
247, Harbouring offender
248, Taking gift etc to screen an offender from punishment
249, Offering gift or restoration of property in consideration of screening offender
250, Taking gift to help to recover stolen property etc
251, Harbouring offender who has escaped from custody or whose apprehension has been ordered
252, Penalty for harbouring robbers or dacoits
253, Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture
254, Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture
255, Public servant in judicial proceeding corruptly making report etc contrary to law
256, Commitment for trial or confinement by person having authority who knows that he is acting contrary to law
257, Intentional omission to apprehend on the part of public servant bound to apprehend
258, Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed
259, Escape from confinement or custody negligently suffered by public servant
260, Resistance or obstruction by a person to his lawful apprehension
261, Resistance or obstruction to lawful apprehension of another person
262, Omission to apprehend or sufferance of escape on part of public servant in cases not otherwise provided for
263, Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for
264, Violation of condition of remission of punishment
265, Intentional insult or interruption to public servant sitting in judicial proceeding
266, Personation of an assessor
267, Failure by person released on bail or bond to appear in court
268, Public nuisance
269, Negligent act likely to spread infection of disease dangerous to life
270, Malignant act likely to spread infection of disease dangerous to life
271, Disobedience to quarantine rule
272, Adulteration of food or drink intended for sale
273, Sale of noxious food or drink
274, Adulteration of drugs
275, Sale of adulterated drugs
276, Sale of drug as a different drug or preparation
277, Fouling water of public spring or reservoir
278, Making atmosphere noxious to health
279, Rash driving or riding on a public way
280, Rash navigation of vessel
281, Exhibition of false light mark or buoy
282, Conveying person by water for hire in unsafe or overloaded vessel
283, Danger or obstruction in public way or line of navigation
284, Negligent conduct with respect to poisonous substance
285, Negligent conduct with respect to fire or combustible matter
286, Negligent conduct with respect to explosive substance
287, Negligent conduct with respect to machinery
288, Negligent conduct with respect to pulling down repairing or constructing buildings etc
289, Negligent conduct with respect to animal
290, Punishment for public nuisance in cases not otherwise provided for
291, Continuance of nuisance after injunction to discontinue
292, Sale etc of obscene books etc
293, Sale etc of obscene objects to child
294, Obscene acts and songs
295, Keeping lottery office
296, Injuring or defiling place of worship with intent to insult the religion of any class
297, Deliberate and malicious acts intended to outrage religious feelings of any class by insulting its religion or religious beliefs
298, Disturbing religious assembly
299, Trespassing on burial places etc
300, Uttering words etc with deliberate intent to wound religious feelings
301, Theft
302, Snatching
303, Theft in a dwelling house or means of transportation or place of worship etc
304, Theft by clerk or servant of property in possession of master
305, Theft after preparation made for causing death hurt or restraint in order to the committing of theft
306, Extortion
307, Robbery
308, Dacoity
309, Robbery or dacoity with attempt to cause death or grievous hurt
310, Attempt to commit robbery or dacoity when armed with deadly weapon
311, Punishment for belonging to gang of robbers dacoits etc
312, Dishonest misappropriation of property
313, Dishonest misappropriation of property possessed by deceased person at the time of his death
314, Criminal breach of trust
315, Stolen property
316, Cheating
317, Cheating by personation
318, Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors
319, Dishonestly or fraudulently preventing debt being available for creditors
320, Dishonest or fraudulent execution of deed of transfer containing false statement of consideration
321, Dishonest or fraudulent removal or concealment of property
322, Mischief
323, Mischief by killing or maiming animal
324, Mischief by injury inundation fire or explosive substance etc
325, Mischief with intent to destroy or make unsafe a rail aircraft decked vessel or one of twenty tons burden
326, Punishment for intentionally running vessel aground or ashore with intent to commit theft etc
327, Criminal trespass and house-trespass
328, House-trespass and house-breaking
329, Punishment for house-trespass or house breaking
330, House-trespass in order to commit offence
331, House-trespass after preparation for hurt assault or wrongful restraint
332, Dishonestly breaking open receptacle containing property
333, Making a false document
334, Forgery
335, Forgery of record of Court or of public register etc
336, Forgery of valuable security will etc
337, Having possession of document described in section 335 or 336 knowing it to be forged and intending to use it as genuine
338, Forged document or electronic record and using it as genuine
339, Making or possessing counterfeit seal etc with intent to commit forgery punishable under section 336
340, Counterfeiting device or mark used for authenticating documents described in section 336 or possessing counterfeit marked material
341, Fraudulent cancellation destruction etc of will authority to adopt or valuable security
342, Falsification of accounts
343, Property mark
344, Tampering with property mark with intent to cause injury
345, Counterfeiting a property mark
346, Making or possession of any instrument for counterfeiting a property mark
347, Selling goods marked with a counterfeit property mark
348, Making a false mark upon any receptacle containing goods
349, Criminal intimidation
350, Intentional insult with intent to provoke breach of peace
351, Statements conducing to public mischief
352, Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure
353, Misconduct in public by a drunken person
354, Defamation
355, Breach of contract to attend on and supply wants of helpless person
356, Repeal and savings
